               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11604,            0.038838,            0.042144,            0.001946,             0.10438,           0.0023982,          0.00028639,             0.11094,            0.030548,            0.040228,              0.0982,              0.0002,              0.0002
                   1,             0.11487,            0.042254,             0.04048,            0.001454,            0.085859,           0.0076386,          0.00098396,             0.10998,             0.02924,            0.040128,            0.095495,          0.00049505,          0.00049505
                   2,             0.11386,             0.03985,            0.041214,           0.0013899,            0.085859,            0.019697,           0.0059027,             0.10874,            0.027729,             0.03978,            0.092784,          0.00078416,          0.00078416
                   3,             0.11086,            0.037284,            0.041297,           0.0019577,             0.14646,           0.0019545,          0.00045022,             0.10673,            0.026051,            0.039523,            0.090067,           0.0010673,           0.0010673
                   4,             0.10597,            0.039378,            0.040275,           0.0013879,             0.17003,           0.0010635,          0.00022894,             0.10129,            0.025261,            0.038965,            0.087345,           0.0013446,           0.0013446
                   5,             0.10382,            0.037841,            0.040082,           0.0026715,             0.24411,           0.0048864,          0.00075928,            0.098894,            0.024466,            0.038828,            0.084616,           0.0016158,           0.0016158
                   6,             0.10229,            0.042183,            0.039005,           0.0016928,             0.13468,           0.0016234,          0.00032681,            0.099254,            0.023254,             0.03978,            0.081881,           0.0018812,           0.0018812
                   7,             0.10232,            0.036104,            0.038663,            0.001976,             0.16498,           0.0053833,           0.0012324,            0.095523,              0.0235,            0.040237,            0.079141,           0.0021406,           0.0021406
                   8,            0.099779,            0.036165,            0.037631,           0.0032089,             0.59596,           0.0070634,           0.0013587,            0.093793,            0.022873,            0.039899,            0.076394,           0.0023941,           0.0023941
                   9,            0.097802,            0.033344,            0.037112,           0.0033337,             0.62626,           0.0045611,            0.001326,            0.092913,            0.022352,            0.039377,            0.073642,           0.0026416,           0.0026416
                  10,            0.096687,            0.038471,             0.03744,           0.0038464,              0.6633,            0.036171,             0.00399,            0.089831,            0.022163,            0.037692,            0.070883,           0.0028832,           0.0028832
                  11,            0.092497,            0.039282,            0.036149,           0.0039379,             0.39057,            0.008504,           0.0034537,            0.089348,            0.022142,            0.037216,            0.068119,           0.0031189,           0.0031189
                  12,            0.093751,            0.037479,            0.034875,           0.0040134,             0.65152,           0.0066266,            0.001735,            0.088291,            0.021899,            0.038525,            0.065349,           0.0033486,           0.0033486
                  13,            0.091232,            0.039428,            0.033816,           0.0030258,             0.23906,           0.0045685,           0.0011393,            0.084458,            0.022578,            0.037582,            0.062572,           0.0035723,           0.0035723
                  14,            0.088433,            0.034025,            0.034455,           0.0048062,             0.73064,           0.0079164,           0.0021752,            0.080999,            0.022537,            0.034543,             0.05979,           0.0037902,           0.0037902
                  15,            0.085398,            0.038149,            0.032591,           0.0033112,             0.29966,           0.0044976,           0.0016573,            0.082332,            0.022568,            0.034003,            0.057002,           0.0040021,           0.0040021
                  16,            0.085518,            0.044305,            0.031923,           0.0023598,             0.23232,            0.018369,           0.0044639,            0.081226,             0.02281,            0.033298,            0.054208,            0.004208,            0.004208
                  17,            0.084443,            0.038193,            0.032044,           0.0021029,              0.2138,           0.0064267,           0.0020185,            0.083849,            0.022511,            0.033682,            0.051408,            0.004408,            0.004408
                  18,            0.082616,            0.044846,            0.031876,           0.0025983,             0.22054,           0.0080742,           0.0019092,            0.083701,            0.022034,            0.032401,            0.048602,           0.0046021,           0.0046021
                  19,            0.081588,            0.043421,            0.030118,           0.0024336,             0.27441,           0.0049953,            0.001096,             0.08475,            0.021864,            0.032327,             0.04579,           0.0047902,           0.0047902
                  20,            0.081682,            0.038769,            0.029793,           0.0032668,             0.36027,           0.0042238,           0.0013216,            0.078893,              0.0233,             0.03002,            0.042972,           0.0049724,           0.0049724
                  21,            0.081238,            0.038692,            0.030962,             0.00729,             0.59596,           0.0088609,           0.0022176,            0.077852,            0.023573,            0.030446,            0.040149,           0.0051487,           0.0051487
                  22,            0.076971,            0.046157,            0.029249,             0.33887,            0.030303,            0.014136,           0.0028654,            0.077257,             0.02363,            0.029562,            0.037319,            0.005319,            0.005319
                  23,             0.07866,             0.04336,            0.029874,             0.34867,            0.030303,            0.025125,           0.0065266,            0.075123,            0.023268,            0.029132,            0.034483,           0.0054833,           0.0054833
                  24,            0.078553,             0.04271,            0.027666,             0.71621,            0.030303,            0.044149,           0.0085285,            0.074803,            0.023367,            0.029677,            0.031642,           0.0056418,           0.0056418
                  25,            0.080757,            0.042156,            0.027206,            0.082788,             0.10943,            0.054645,            0.011393,            0.072033,            0.023701,            0.029778,            0.028794,           0.0057942,           0.0057942
                  26,            0.072352,              0.0425,            0.028006,            0.068328,             0.10943,            0.027953,           0.0085081,            0.073634,            0.023867,            0.029068,            0.025941,           0.0059408,           0.0059408
                  27,            0.076677,            0.048387,            0.026687,             0.69878,            0.030303,            0.018589,           0.0053983,            0.070747,            0.024248,             0.02948,            0.023081,           0.0060814,           0.0060814
                  28,            0.077131,            0.037513,            0.025805,             0.69878,            0.030303,            0.018589,           0.0053983,            0.070747,            0.024248,             0.02948,            0.020216,           0.0062161,           0.0062161
                  29,            0.075231,            0.048922,            0.027362,             0.70805,            0.060606,            0.023222,           0.0058915,            0.071412,            0.024437,            0.029466,            0.017345,           0.0063448,           0.0063448
                  30,            0.071908,            0.030873,            0.027482,             0.70505,            0.060606,            0.035758,           0.0099659,            0.068863,            0.025591,            0.029663,            0.014468,           0.0064676,           0.0064676
                  31,            0.071337,            0.040596,            0.025418,            0.011753,             0.33517,            0.019117,           0.0056077,            0.070116,            0.024467,            0.030199,            0.011584,           0.0065844,           0.0065844
                  32,            0.076101,            0.029359,            0.028883,            0.011753,             0.33517,            0.019117,           0.0056077,            0.070116,            0.024467,            0.030199,           0.0086954,           0.0066954,           0.0066954
                  33,            0.070164,            0.034641,            0.024067,             0.70247,            0.090909,            0.042656,            0.015727,            0.068811,            0.024117,            0.030574,            0.006733,            0.006733,            0.006733
                  34,            0.073341,            0.038483,             0.02547,             0.72929,             0.12121,            0.096689,            0.028751,            0.066137,            0.024073,            0.030432,            0.006733,            0.006733,            0.006733
                  35,            0.070578,            0.043734,            0.025016,             0.70688,            0.090909,            0.065341,            0.022213,             0.07082,            0.023403,            0.029022,            0.006634,            0.006634,            0.006634
                  36,            0.073049,            0.035312,            0.026137,             0.70688,            0.090909,            0.065341,            0.022213,             0.07082,            0.023403,            0.029022,            0.006535,            0.006535,            0.006535
                  37,             0.07322,             0.03733,            0.025817,             0.73555,            0.030303,            0.051395,            0.021077,             0.06884,            0.024733,            0.028189,            0.006436,            0.006436,            0.006436
                  38,            0.068295,            0.043718,            0.024359,             0.77643,            0.030303,            0.051907,            0.012692,            0.065436,             0.02494,            0.028477,            0.006337,            0.006337,            0.006337
                  39,            0.067758,            0.037325,            0.026365,             0.73277,            0.060606,            0.040029,            0.011597,            0.067638,            0.024532,            0.028537,            0.006238,            0.006238,            0.006238
                  40,            0.067391,            0.036951,            0.023506,             0.73277,            0.060606,            0.040029,            0.011597,            0.067638,             0.02454,            0.028537,            0.006139,            0.006139,            0.006139
                  41,            0.065402,            0.036891,            0.024218,             0.36164,            0.090909,            0.040152,            0.010094,            0.068141,            0.024048,            0.028175,             0.00604,             0.00604,             0.00604
                  42,            0.064479,            0.031787,            0.023349,             0.75904,            0.090909,            0.068572,            0.020995,             0.06856,             0.02371,             0.02764,            0.005941,            0.005941,            0.005941
                  43,            0.067338,            0.039251,            0.026513,             0.78416,            0.060606,            0.079663,            0.027338,            0.074361,            0.021503,            0.026907,            0.005842,            0.005842,            0.005842
                  44,            0.064462,            0.035452,            0.024246,             0.78416,            0.060606,            0.079663,            0.027338,            0.074361,            0.021496,            0.026907,            0.005743,            0.005743,            0.005743
                  45,            0.065696,            0.035667,            0.023113,             0.76772,            0.090909,            0.096453,            0.033054,            0.073643,            0.021477,             0.02574,            0.005644,            0.005644,            0.005644
                  46,            0.064407,            0.035448,            0.023262,              0.5329,             0.15825,             0.11341,            0.033519,            0.071249,            0.022106,            0.025832,            0.005545,            0.005545,            0.005545
                  47,            0.068137,            0.036242,            0.023975,             0.21883,             0.15825,             0.11975,            0.046026,            0.070557,            0.022341,            0.026234,            0.005446,            0.005446,            0.005446
                  48,             0.06831,            0.036759,            0.020826,             0.21883,             0.15825,             0.11975,            0.046026,            0.070557,            0.022341,            0.026234,            0.005347,            0.005347,            0.005347
                  49,            0.061257,            0.035647,            0.022512,             0.65347,             0.12795,             0.12494,            0.052063,             0.07041,            0.022232,            0.026344,            0.005248,            0.005248,            0.005248
                  50,               0.065,            0.036933,            0.021763,             0.28391,             0.12795,              0.1196,            0.048389,             0.06838,            0.022498,            0.025415,            0.005149,            0.005149,            0.005149
                  51,            0.065309,            0.043732,            0.021122,             0.28417,             0.13557,             0.11851,            0.054974,            0.070809,            0.022055,            0.025484,             0.00505,             0.00505,             0.00505
                  52,             0.06024,            0.033612,             0.02342,             0.28417,             0.13557,             0.11851,            0.054974,            0.070809,            0.022055,            0.025484,            0.004951,            0.004951,            0.004951
                  53,            0.063129,            0.033115,            0.024093,             0.36927,             0.14644,             0.12927,            0.048662,            0.069707,            0.022966,            0.025575,            0.004852,            0.004852,            0.004852
                  54,            0.061534,            0.036695,            0.022612,             0.59475,            0.097643,             0.11396,            0.048219,            0.070645,            0.023239,            0.025955,            0.004753,            0.004753,            0.004753
                  55,            0.061166,            0.042897,            0.021887,             0.13423,             0.14646,             0.10515,             0.05348,            0.068329,             0.02459,            0.025841,            0.004654,            0.004654,            0.004654
                  56,            0.063437,            0.040824,            0.023449,             0.13423,             0.14646,             0.10515,             0.05348,            0.068329,            0.024582,            0.025841,            0.004555,            0.004555,            0.004555
                  57,            0.065321,            0.032796,            0.021366,             0.13061,            0.097643,             0.11719,            0.050819,            0.070627,            0.024961,            0.025433,            0.004456,            0.004456,            0.004456
                  58,            0.059692,            0.030985,            0.021813,             0.12076,            0.097643,             0.11567,            0.048982,            0.068228,            0.024849,            0.025337,            0.004357,            0.004357,            0.004357
                  59,            0.060981,             0.03527,            0.019502,             0.59174,             0.12125,             0.11066,            0.047839,            0.068562,            0.024311,            0.025539,            0.004258,            0.004258,            0.004258
                  60,            0.060641,            0.030703,            0.021677,             0.59174,             0.12125,             0.11066,            0.047839,            0.068562,            0.024311,            0.025539,            0.004159,            0.004159,            0.004159
                  61,            0.060296,            0.036569,              0.0228,             0.53734,             0.10943,            0.098408,            0.040386,            0.069727,            0.023719,            0.025122,             0.00406,             0.00406,             0.00406
                  62,             0.05998,            0.033297,            0.019012,              0.1429,             0.11616,            0.098589,            0.027838,            0.069475,             0.02339,             0.02569,            0.003961,            0.003961,            0.003961
                  63,            0.062706,             0.03422,            0.019028,              0.4878,            0.079125,            0.098914,            0.041979,            0.067775,            0.023882,            0.024724,            0.003862,            0.003862,            0.003862
                  64,            0.059038,            0.034109,            0.018845,              0.4878,            0.079125,            0.098914,            0.041979,            0.067775,            0.023882,            0.024724,            0.003763,            0.003763,            0.003763
                  65,            0.062747,            0.034815,            0.019675,             0.55564,            0.079125,            0.080765,            0.043168,            0.068252,             0.02367,            0.024532,            0.003664,            0.003664,            0.003664
                  66,            0.058743,            0.044982,             0.01932,             0.47496,            0.097643,            0.066988,            0.026781,            0.069641,            0.023781,            0.024225,            0.003565,            0.003565,            0.003565
                  67,            0.061936,            0.048999,            0.018876,             0.41769,            0.079125,            0.057762,            0.024728,            0.068615,            0.024544,            0.023662,            0.003466,            0.003466,            0.003466
                  68,            0.055517,            0.033605,            0.018758,             0.41769,            0.079125,            0.057762,            0.024728,            0.068615,            0.024551,            0.023662,            0.003367,            0.003367,            0.003367
                  69,            0.058316,            0.039092,            0.016574,             0.43994,             0.11616,            0.058112,            0.024774,            0.069059,            0.024956,            0.023598,            0.003268,            0.003268,            0.003268
                  70,            0.060153,            0.037035,            0.019452,             0.45496,             0.11616,            0.066012,            0.028157,            0.066431,            0.024652,            0.024371,            0.003169,            0.003169,            0.003169
                  71,            0.057485,            0.037764,            0.018423,             0.48287,             0.11616,            0.076694,            0.037483,            0.068039,            0.023392,            0.024207,             0.00307,             0.00307,             0.00307
                  72,            0.057098,            0.035446,            0.017363,             0.48287,             0.11616,            0.076694,            0.037483,            0.068039,            0.023384,            0.024207,            0.002971,            0.002971,            0.002971
                  73,            0.056414,            0.040614,            0.018139,             0.45179,             0.11616,            0.065309,             0.03573,            0.067503,            0.023132,            0.024005,            0.002872,            0.002872,            0.002872
                  74,            0.061534,            0.034979,            0.016766,             0.07993,            0.085859,            0.063624,            0.032523,            0.064368,            0.023607,            0.023735,            0.002773,            0.002773,            0.002773
                  75,            0.057996,            0.031966,            0.017912,             0.16128,             0.16498,            0.089179,            0.039487,            0.065796,            0.023115,            0.023936,            0.002674,            0.002674,            0.002674
                  76,            0.057142,            0.040098,            0.015638,             0.16128,             0.16498,            0.089179,            0.039487,            0.065796,            0.023115,            0.023936,            0.002575,            0.002575,            0.002575
                  77,            0.057047,            0.035064,             0.01822,             0.10216,             0.13468,             0.08563,            0.038913,            0.065753,            0.022928,            0.023831,            0.002476,            0.002476,            0.002476
                  78,            0.054325,            0.033408,            0.018014,              0.0681,            0.085859,             0.06678,            0.035378,            0.066208,            0.022554,            0.023698,            0.002377,            0.002377,            0.002377
                  79,            0.053804,            0.035212,            0.017189,              0.0873,            0.086384,            0.076032,            0.036181,            0.066278,            0.022289,            0.023909,            0.002278,            0.002278,            0.002278
                  80,            0.053308,            0.032294,            0.017088,              0.0873,            0.086384,            0.076032,            0.036181,            0.066278,            0.022289,            0.023909,            0.002179,            0.002179,            0.002179
                  81,            0.054193,            0.034684,            0.016969,             0.15589,             0.12867,            0.091722,            0.033048,            0.066174,            0.022154,            0.023763,             0.00208,             0.00208,             0.00208
                  82,            0.054268,            0.034165,            0.015199,             0.13635,             0.13468,               0.102,            0.046769,            0.065509,            0.021866,            0.023648,            0.001981,            0.001981,            0.001981
                  83,            0.055997,            0.034192,            0.015697,             0.11451,              0.1532,            0.093487,            0.045835,            0.064866,            0.021955,            0.023145,            0.001882,            0.001882,            0.001882
                  84,            0.055988,            0.047084,             0.01388,             0.11451,              0.1532,            0.093487,            0.045835,            0.064866,            0.021955,            0.023145,            0.001783,            0.001783,            0.001783
                  85,            0.053899,            0.035876,            0.015931,            0.072553,             0.10438,            0.090133,            0.042796,            0.064773,            0.022053,            0.022824,            0.001684,            0.001684,            0.001684
                  86,            0.052911,            0.032119,            0.014404,            0.086686,              0.1229,             0.10001,            0.045538,            0.065131,            0.022046,            0.023026,            0.001585,            0.001585,            0.001585
                  87,            0.059102,            0.042458,            0.015362,             0.10941,              0.1229,             0.11731,            0.052578,            0.066509,            0.021536,            0.022408,            0.001486,            0.001486,            0.001486
                  88,            0.054349,             0.03314,            0.014751,             0.10941,              0.1229,             0.11731,            0.052578,            0.066509,            0.021536,            0.022408,            0.001387,            0.001387,            0.001387
                  89,            0.053949,            0.034202,            0.014772,             0.53677,            0.085859,             0.11844,            0.050034,            0.066821,            0.021325,             0.02184,            0.001288,            0.001288,            0.001288
                  90,            0.055147,            0.032253,            0.017683,             0.68234,            0.099315,             0.13658,            0.056015,             0.06714,            0.021312,            0.021419,            0.001189,            0.001189,            0.001189
                  91,            0.055023,            0.036488,            0.016536,             0.58587,            0.085859,             0.12047,            0.057423,            0.067502,            0.021386,            0.021254,             0.00109,             0.00109,             0.00109
                  92,            0.050179,            0.035993,            0.014884,             0.58587,            0.085859,             0.12047,            0.057423,            0.067502,            0.021386,            0.021254,            0.000991,            0.000991,            0.000991
                  93,            0.054348,            0.031771,            0.013552,              0.5722,            0.085859,             0.12512,            0.061117,            0.067424,            0.021536,            0.021117,            0.000892,            0.000892,            0.000892
                  94,             0.05332,             0.03927,             0.01457,             0.55814,             0.10458,              0.1356,            0.065616,              0.0674,             0.02155,             0.02097,            0.000793,            0.000793,            0.000793
                  95,            0.053112,            0.032863,            0.014537,             0.57024,             0.10438,             0.14206,            0.068966,            0.067364,            0.021516,            0.020869,            0.000694,            0.000694,            0.000694
                  96,            0.054911,            0.033769,            0.014824,             0.57024,             0.10438,             0.14206,            0.068966,            0.067364,            0.021516,            0.020869,            0.000595,            0.000595,            0.000595
                  97,            0.054553,            0.034986,            0.015494,             0.53765,              0.1532,             0.14413,            0.068599,            0.067143,            0.021524,            0.020915,            0.000496,            0.000496,            0.000496
                  98,            0.052152,            0.039907,             0.01385,             0.57573,             0.13468,             0.14243,            0.069535,            0.067119,            0.021549,            0.020915,            0.000397,            0.000397,            0.000397
                  99,             0.05345,            0.035211,            0.014027,             0.57239,             0.13468,             0.14144,            0.070508,            0.066887,            0.021593,            0.020888,            0.000298,            0.000298,            0.000298
